RunID,SampleID,Activity
ELN_19_AB1234-1,1,25
ELN_19_AB1234-1,2,24.4
ELN_19_AB1234-1,3,24.7
ELN_19_AB1234-1,4,24.7
ELN_19_AB1234-1,5,24.1
ELN_19_AB1234-1,6,24.8
ELN_19_AB1234-1,7,24.4
ELN_19_AB1234-1,8,24.3
ELN_19_AB1234-1,9,24.5
ELN_19_AB1234-1,10,25.1
ELN_19_AB1234-2,1,25.6
ELN_19_AB1234-2,2,24.8
ELN_19_AB1234-2,3,25.8
ELN_19_AB1234-2,4,26
ELN_19_AB1234-2,5,26.1
ELN_19_AB1234-2,6,25.9
ELN_19_AB1234-2,7,25.5
ELN_19_AB1234-2,8,25.6
ELN_19_AB1234-2,9,25.2
ELN_19_AB1234-2,10,26
