RunID,SampleID,Position,Replicate,Viscosity,pH
ELN_19_AB1234-1,Begin_1,Begin,1,1031,5.6
ELN_19_AB1234-1,Begin_2,Begin,2,1026,5.9
ELN_19_AB1234-1,Begin_3,Begin,3,1010,5.6
ELN_19_AB1234-1,Middle_1,Middle,1,1001,5.6
ELN_19_AB1234-1,Middle_2,Middle,2,991,5.6
ELN_19_AB1234-1,Middle_3,Middle,3,1022,5.7
ELN_19_AB1234-1,End_1,End,1,1008,5.6
ELN_19_AB1234-1,End_2,End,2,985,5.7
ELN_19_AB1234-1,End_3,End,3,982,5.5
ELN_19_AB1234-2,Begin_1,Begin,1,1214,6.7
ELN_19_AB1234-2,Begin_2,Begin,2,1232,6.5
ELN_19_AB1234-2,Begin_3,Begin,3,1223,6.5
ELN_19_AB1234-2,Middle_1,Middle,1,1189,6.5
ELN_19_AB1234-2,Middle_2,Middle,2,1204,6.3
ELN_19_AB1234-2,Middle_3,Middle,3,1202,6.5
ELN_19_AB1234-2,End_1,End,1,1189,6.6
ELN_19_AB1234-2,End_2,End,2,1182,6.6
ELN_19_AB1234-2,End_3,End,3,1194,6.5
